               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13109,            0.029285,                   0,            0.002358,            0.052632,           0.0067135,           0.0012737,             0.13287,            0.024142,                   0,              0.0937,              0.0007,              0.0007
                   1,             0.11152,            0.028023,                   0,           0.0030818,            0.052632,            0.010509,           0.0031004,            0.098321,            0.021285,                   0,            0.086485,           0.0014851,           0.0014851
                   2,            0.089252,            0.027221,                   0,            0.010625,             0.15789,            0.058923,            0.017556,            0.074499,            0.020665,                   0,            0.079254,           0.0022545,           0.0022545
                   3,            0.082441,            0.027287,                   0,            0.010594,             0.52632,            0.080549,            0.024402,            0.066137,            0.018366,                   0,            0.072008,           0.0030079,           0.0030079
                   4,            0.076642,            0.023639,                   0,             0.12029,             0.63158,             0.28137,             0.08615,            0.061829,            0.015815,                   0,            0.064746,           0.0037456,           0.0037456
                   5,            0.068729,            0.024004,                   0,             0.52534,             0.52436,             0.62224,             0.18107,             0.05939,             0.01408,                   0,            0.057467,           0.0044673,           0.0044673
                   6,            0.065403,            0.021305,                   0,             0.67802,             0.47368,             0.51685,             0.14569,            0.063234,            0.012579,                   0,            0.050173,           0.0051733,           0.0051733
                   7,             0.06436,            0.020589,                   0,             0.10801,             0.52632,              0.1084,            0.021514,            0.066788,            0.012185,                   0,            0.042863,           0.0058634,           0.0058634
                   8,            0.059989,            0.018459,                   0,             0.56129,             0.78947,             0.77007,             0.23506,            0.058986,            0.011013,                   0,            0.035538,           0.0065377,           0.0065377
                   9,            0.061473,            0.020778,                   0,             0.20797,             0.69108,             0.25602,             0.12336,            0.060993,            0.011211,                   0,            0.028196,           0.0071961,           0.0071961
                  10,            0.059186,             0.01998,                   0,             0.28384,             0.26316,             0.21458,            0.038938,            0.067485,           0.0082072,                   0,            0.020839,           0.0078387,           0.0078387
